doctor_id,doctor_name,specialization,hospital,area,city,experience_years,rating
D087,Dr. Kiran Mehta,Allergist,Chandigarh Care Hospital,Sector 44,Chandigarh,21,4.7
D086,Dr. Aman Gupta,Allergist,Chandigarh Health Hospital,Sector 15,Chandigarh,14,4.2
D005,Dr. Vikram Sethi,Cardiologist,Chandigarh Medisquare Hospital,Sector 15,Chandigarh,14,4.2
D006,Dr. Ananya Sharma,Cardiologist,Chandigarh LifeCare Hospital,Sector 17,Chandigarh,6,4.1
D008,Dr. Riya Arora,Dermatologist,Chandigarh Health Hospital,Sector 22,Chandigarh,8,4.4
D011,Dr. Pooja Saini,Dermatologist,Chandigarh LifeCare Hospital,Sector 34,Chandigarh,21,4.3
D009,Dr. Mehak Khanna,Dermatologist,Chandigarh LifeCare Hospital,Sector 44,Chandigarh,5,4.1
D082,Dr. Preeti Khanna,ENT Specialist,Chandigarh Medisquare Hospital,Sector 22,Chandigarh,6,4.7
D084,Dr. Jyoti Bansal,ENT Specialist,Chandigarh LifeCare Hospital,Sector 17,Chandigarh,14,4.5
D035,Dr. Ashish Bansal,Endocrinologist,Chandigarh LifeCare Hospital,Sector 22,Chandigarh,16,4.2
D018,Dr. Kavya Jain,Gastroenterologist,Chandigarh Care Hospital,Sector 22,Chandigarh,18,4.7
D016,Dr. Priya Walia,Gastroenterologist,Chandigarh Health Hospital,Sector 15,Chandigarh,20,4.6
D072,Dr. Harish Kapoor,General Physician,Chandigarh Health Hospital,Sector 17,Chandigarh,7,4.5
D067,Dr. Rajiv Sharma,General Physician,Chandigarh Care Hospital,Sector 22,Chandigarh,8,4.3
D104,Dr. Meena Sethi,General Surgeon,Chandigarh Health Hospital,Sector 15,Chandigarh,12,4.3
D091,Dr. Amit Suri,Hepatologist,Chandigarh LifeCare Hospital,Sector 22,Chandigarh,6,4.0
D077,Dr. Aman Sethi,Infectious Disease Specialist,Chandigarh Medisquare Hospital,Sector 15,Chandigarh,13,4.8
D078,Dr. Rupinder Kaur,Infectious Disease Specialist,Chandigarh LifeCare Hospital,Sector 34,Chandigarh,13,4.5
D041,Dr. Akash Gupta,Nephrologist,Chandigarh Medisquare Hospital,Sector 44,Chandigarh,10,4.5
D037,Dr. Harpreet Kaur,Nephrologist,Chandigarh LifeCare Hospital,Sector 15,Chandigarh,16,4.3
D042,Dr. Radhika Khanna,Nephrologist,Chandigarh Medisquare Hospital,Sector 22,Chandigarh,6,4.1
D021,Dr. Rajat Sood,Neurologist,Chandigarh Health Hospital,Sector 15,Chandigarh,14,4.7
D020,Dr. Shreya Bansal,Neurologist,Chandigarh LifeCare Hospital,Sector 44,Chandigarh,16,4.4
